id,date_added,incident_date,city,state,crime_type,camera_role,outcome,summary,source_name,source_url,additional_sources,confidence
61,2026-08-13,2026-05-11,Columbia,MO,homicide,LPR identified suspect vehicle from Flock camera images,arrest and indictment on murder charges,"A woman's body was discovered in a trash bin in Boone County, Missouri. Flock cameras captured images of a red pickup truck carrying a matching trash bin on the suspected date of the incident, allowing investigators to identify and arrest the suspect within days.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/27/3333562/0/en/flock-lpr-helps-identify-murder-suspect-vehicle-in-boone-county-missouri.html,,high
62,2026-08-13,2025-09-20,Fountain,CO,assault,Real-time alert identified suspect vehicle on warrant,Arrest of attempted murder suspect,"On September 20, 2025, the Flock Safety camera system detected a vehicle associated with attempted murder suspect Michael McGinnis near Highway 85 and Main Street in El Paso County. The real-time alert enabled Fountain Police to quickly locate and arrest McGinnis without incident.",El Paso County Sheriff’s Office,https://epcsheriffsoffice.com/flock-safety-cameras-assist-in-arrest-of-attempted-murder-suspect/,,high
63,2026-08-13,2026-02-13,Detroit,TX,vehicle theft,"LPR alert detected stolen motorcycle entering county, enabling interception","motorcycle recovered, suspect arrested","A stolen motorcycle was recovered and its possessor, Gary Wayne Buford, was arrested in Detroit, Texas, after a Flock Safety LPR alert notified deputies that the vehicle had entered Red River County. Deputies coordinated to intercept the motorcycle and conducted a systematic search that resulted in its recovery and Buford's arrest on theft and drug possession charges.",MyParisTexas,https://myparistexas.com/stolen-motorcycle-recovered-suspect-arrested-following-flock-safety-alert/,,high
64,2026-08-13,2026-07-07,Monroe,NC,burglary,"LPR system identified getaway vehicle and license plate, traced across state lines",suspect arrested and charged,"A violent burglary occurred at Monroe Tobacco and Stuff where a shot was fired at an employee. The Flock Safety camera system helped police identify the suspect's vehicle and license plate, leading to the apprehension of Sherwin Alfonzo Green in South Carolina.",WSOC TV,https://www.wsoctv.com/news/local/violent-burglary-suspect-apprehended-with-help-flock-camera-system/I5RMO3IVBJGHXJNJDLV7FD3PJI/,,high
65,2026-08-13,2026-04-30,Berea,KY,robbery,LPR data located suspect vehicle during manhunt,suspect apprehended following high-speed chase,"Two bank employees were killed during a U.S. Bank robbery in Berea, Kentucky on April 30, 2026. Flock camera data combined with other investigative tools helped authorities locate the suspect's vehicle, leading to his capture in Lexington following a high-speed pursuit.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334892/0/en/flock-cameras-aid-multi-agency-manhunt-for-suspect-in-deadly-berea-bank-robbery.html,,high
66,2026-08-13,2026-07-27,Titusville,FL,homicide,Flock camera alert identified suspect vehicle entering city,suspect apprehended following police chase,A homicide suspect died after a police chase ended in a crash at Sand Point Park in Titusville. Titusville's Flock Safety camera system alerted officers that the suspect's vehicle had entered the city.,Florida Today,https://www.floridatoday.com/story/news/2026/07/27/homicide-suspect-found-dead-at-park-after-police-chase-in-titusville/91072246007/,,high
67,2026-08-13,2026-04-09,Kenner,LA,theft/larceny,LPR tracking helped locate theft suspect,suspect tracked down,Flock Safety cameras assisted Kenner police in identifying and tracking down a theft suspect within 24 hours of the incident.,WGNO,https://wgno.com/video/flock-safety-cameras-help-kenner-police-track-down-theft-suspect-in-less-than-24-hours/11684901/,,low
68,2026-08-13,2026-05-02,Louisville,KY,shooting,LPR identified suspect vehicle driver,"arrest, charged with assault and wanton endangerment","A man was shot during a road rage incident on Blue Lick Road in Louisville on May 2, 2026. Flock camera data allowed detectives to identify the suspect vehicle's driver, leading to his arrest the same day and charges for assault and wanton endangerment.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334612/0/en/flock-lpr-helps-louisville-police-identify-road-rage-shooting-suspect-the-same-day.html,,high
69,2026-08-13,2026-05-02,Amarillo,TX,shooting,LPR identified suspect SUV license plate and location before and after shooting,"three individuals charged with first-degree murder, firearms recovered","A mass shooting at an Amarillo apartment complex on May 2, 2026 killed two and wounded ten. Flock LPR cameras identified the suspect vehicle's license plate and traced it to an address, leading to a traffic stop that recovered firearms matching the crime scene and resulted in three murder charges.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334609/0/en/flock-lpr-helps-amarillo-detectives-identify-suspect-suv-in-mass-shooting-that-killed-two-and-wounded-ten.html,,high
70,2026-08-13,2026-04-29,Redding,CA,shooting,ALPR verified suspect vehicle presence at scene,suspect arrested,"A shooting at the Shasta County Office of Education in Redding left one person injured. The newly installed Flock ALPR system helped investigators verify that the suspect's primer gray Dodge Charger was at the location before the shooting, assisting in identification through vehicle registration records; the suspect was arrested two days later.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334890/0/en/newly-installed-flock-lpr-system-helps-identify-attempted-murder-suspect-in-redding.html,,high
71,2026-08-13,2026-04-25,Indianapolis,IN,shooting,LPR identified suspect vehicle and confirmed occupants' descriptions,two suspects arrested on preliminary charges of criminal recklessness with a deadly weapon and intimidation,"On April 25, 2026, shots were fired at a woman from another vehicle on Interstate 465 in Indianapolis. Flock camera data helped identify the suspect vehicle (gray Ford Escape with temporary plate) and its occupants, leading to the arrest of two men within three days.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334891/0/en/flock-lpr-helps-indiana-state-police-identify-suspects-in-i-465-shooting-within-days.html,,high
72,2026-08-13,2025-12-13,Providence,RI,shooting,LPR tracking located suspect vehicle across multiple sightings,suspect located and apprehended,"Flock Safety cameras in Providence tracked a grey Nissan with Florida plates linked to the Brown University shooting, recording 14 sightings between December 1-13. The LPR system continued tracking the vehicle even after the suspect changed the license plate, helping police locate 48-year-old Claudio Manuel Neves Valente.",NBC Boston,https://www.nbcboston.com/news/local/ai-brown-university-mit-investigation/3865328/,https://www.cbsnews.com/boston/news/brown-university-mit-professor-shooting-flock-cameras-car/ https://www.wmur.com/article/license-plate-technology-brown-university-shooter/69823420 https://www.egyptindependent.com/the-tech-firm-that-helped-police-find-the-brown-shooting-suspect-has-sparked-privacy-concerns-its-ceo-responds/ https://www.wsbtv.com/news/local/how-georgia-company-helped-catch-brown-university-shooter/QB7NEVWSLBAJ3I4UBASFEGSK3Y/,high
73,2026-08-13,2026-03-15,Olympia,WA,shooting,tracked suspects,suspects located,"Investigators used Flock cameras to track down suspects involved in a shooting in Olympia, Washington.",The Olympian,https://www.theolympian.com/news/local/crime/article315048005.html,,medium
74,2026-08-13,2026-06-11,Gwinnett County,GA,homicide,Flock alert led to suspect arrest,arrest,Gwinnett County police arrested a homicide suspect with the assistance of a Flock alert.,11Alive.com,https://www.11alive.com/article/news/flock-alert-helps-gwinnett-county-police-arrest-homicide-suspect/85-35e91634-fdcf-405a-b9c2-59f2f23e884b,,medium
75,2026-08-13,2026-07-27,Mesa,AZ,shooting,LPR data identified suspect vehicle and linked to local address,"arrest, firearm recovered","A man was shot in a Target store restroom in Mesa, Arizona. Flock LPR technology identified the suspect's blue Toyota Camry and traced it to a local address, leading to the arrest of a 21-year-old suspect the following day and recovery of the weapon.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334660/0/en/flock-lpr-links-suspect-vehicle-to-target-store-shooting-arrest-made-in-one-day.html,,high
76,2026-08-13,2026-05-04,Bowling Green,KY,other,LPR detected suspect vehicle across three states during 48-hour flight,arrest on two counts of first-degree sodomy,"A 37-year-old Grayson County man fled Kentucky after being accused of child sexual abuse. Flock cameras detected his vehicle traveling through Alabama, Florida, and Tennessee, leading to his arrest in Bowling Green on May 4, 2026, on charges of two counts of first-degree sodomy.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334629/0/en/flock-lpr-detects-fleeing-suspect-across-three-states-leading-to-arrest-on-child-sodomy-charges.html,,high
77,2026-08-13,2026-07-19,Cleveland,OH,carjacking,LPR system located stolen vehicle,"3 arrests, stolen vehicle recovered, 3 guns recovered","On July 19, 2026, Cleveland Police used Flock Safety license plate reader technology to locate a car stolen during an armed carjacking in the 7900 block of Colgate Avenue. Officers found the vehicle in the 3400 block of West 98th Street using Flock cameras, arrested three suspects, and recovered three firearms.",Cleveland 19 News,https://www.cleveland19.com/2026/07/27/cleveland-police-arrest-3-carjacking-suspects-find-3-guns-stolen-car/,,high
78,2026-08-13,2026-03-03,Buda,TX,burglary,LPR and store footage helped identify suspect,arrest,"A San Antonio man was arrested for vehicle burglaries and credit card fraud in the Garlic Creek subdivision in Buda. Flock Safety cameras, along with store surveillance footage and prior police contact, helped identify the suspect.",cbsaustin.com,https://cbsaustin.com/news/local/flock-safety-cameras-store-video-help-id-suspect-in-buda-vehicle-burglaries-fraud,,high
79,2026-08-13,2026-05-08,Austin,TX,homicide,"LPR alert identified suspect vehicle, leading to traffic stop and arrest","arrest, charged with murder","A man was fatally shot in Austin on May 8, 2026. Two days later, a Flock LPR alert notified Cibolo officers that a vehicle connected to a felony warrant was in their area, leading to the suspect's apprehension within the hour and his subsequent charge for murder.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334474/0/en/flock-lpr-alert-leads-cibolo-officers-to-murder-suspect-after-austin-shooting.html,,high
80,2026-08-13,2026-04-07,Marion,OH,vehicle theft,LPR hit flagged stolen vehicle location,"suspect apprehended, charges filed","Marion County deputies used Flock Safety camera technology to locate a stolen 2024 Ford Bronco in a Meijer parking lot on April 7, 2026, leading to the apprehension of Jacob Wayne Dulaney, who was also wanted for weapons charges.",Marion County Now,https://marioncountynow.com/news/277772-marion-county-deputies-utilize-flock-safety-technology-to-apprehend-suspected-felon-in-stolen-vehicle-incident/,,high
81,2026-08-13,,Acworth,GA,robbery,aided in arrest of suspect,arrest,"Flock cameras assisted police in the arrest of an armed robbery suspect in Acworth, Georgia.",11Alive.com,https://www.11alive.com/article/news/police-say-flock-cameras-aided-in-arrest-of-atlanta-armed-robbery-suspect-in-acworth/85-4d0eb4c8-1ba1-4bfc-b3ce-4ca6cc24853e,https://www.wsbradio.com/news/local/flock-cameras-help-police-capture-robbery-suspect-wanted-atlanta/BYJGTZ5WD5C2JMFV4MHWVWF25I/,medium
82,2026-08-13,2026-05-01,Crest Hill,IL,assault,LPR footage placed suspect vehicle at scene and corroborated witness accounts,"arrest warrant issued, suspect captured and booked on multiple charges","A road rage confrontation in Crest Hill turned violent when a driver stabbed another driver's hand with a knife. Flock LPR footage placed the suspect's vehicle at the scene and corroborated witness accounts, contributing to the suspect's identification, arrest warrant, and capture.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/28/3334628/0/en/flock-lpr-footage-helps-build-case-against-road-rage-knife-attack-suspect-in-crest-hill.html,,high
83,2026-08-13,2026-04-04,Auburn,WA,vehicle theft,"LPR detected stolen vehicle, alert allowed officer to locate it","vehicle recovered, suspect arrested","Auburn police used Flock Safety's license plate reader to detect a stolen vehicle traveling through the city early on April 4. The alert allowed officers to locate and stop the vehicle, though the driver initially fled; multiple officers disabled the car and took the driver into custody.",KOMO,https://komonews.com/news/local/auburn-police-use-flock-safety-cameras-to-recover-stolen-car-arrest-suspect-traffic-commute-highway-crime-investigation-license-plate-reader-privacy-security-chase-pursuit,,high
84,2026-08-13,2026-06-07,Macon,GA,homicide,"LPR identified suspect vehicle traveling south on Harrison Road, enabling pursuit and apprehension","arrest, murder charges filed","A woman was shot at a Macon gas station on June 7, 2026, and later died from her injuries. Flock LPR cameras detected the suspect's vehicle fleeing south on Harrison Road, allowing deputies to locate, pursue, and arrest the suspect.",GlobeNewswire,https://www.globenewswire.com/news-release/2026/07/18/3329337/0/en/flock-lpr-helps-bibb-county-deputies-locate-murder-suspect-fleeing-macon.html,,high
85,2026-08-13,2024-12-16,Brookline,MA,homicide,LPR system located suspect vehicle and captured images across jurisdictions,suspect vehicle located and identified,Flock Safety cameras helped authorities locate a rental car linked to the Brown University shooting suspect and an MIT professor's murder in Brookline. The system captured images of the vehicle in Providence and Massachusetts in the days following the December 16 shooting.,The Boston Globe,https://www.bostonglobe.com/2025/12/19/business/brown-shooting-vehicle-picture/,,high
86,2026-08-13,2026-03-05,Wayne County,UT,homicide,LPR network identified and located suspect vehicle across state lines,suspect arrested in Colorado,"Ivan Miller, 22, suspected of killing three women in Wayne County, Utah, was captured in Colorado through Flock Safety license plate recognition cameras that tracked his vehicle across state lines. The LPR system enabled rapid identification and apprehension of the violent fugitive suspect.",KSL.com,https://www.ksl.com/article/news/utah/police-and-courts/license-plate-recognition-cameras-help-capture-triple-homicide-suspect/51590523,,high
87,2026-08-13,2025-11-16,Kent,WA,robbery,LPR system tracked suspect vehicle from Kent into Auburn,suspect arrested and booked for first-degree robbery,"A man robbed an espresso stand in Kent at gunpoint on November 16, 2025. Officers used Flock Safety Cameras to track the suspect's white vehicle heading into Auburn, leading to the vehicle's location and the suspect's eventual apprehension after a standoff.",FOX 13 Seattle,https://www.fox13seattle.com/news/kent-police-flock-cameras,https://www.kiro7.com/news/local/kent-espresso-stand-robbery-suspect-tracked-by-flock-cameras-found-hiding-auburn-apartment/JNB3SHPQTVGXJM7LZACTPSPOEY/,high
88,2026-08-13,2026-03-31,,,shooting,assisted in apprehension of suspects,two suspects apprehended,Flock technology assisted QPD in apprehending two suspects following a shooting on 5th Street.,KHQA,https://www.khqa.com/news/archive/flock-technology-helps-qpd-apprehend-two-suspects-after-shots-fired-on-5th-street/article_f0b23b28-3f91-5758-91a0-ff096359939c.html,,low
89,2026-08-13,2026-03,"Rohnert Park, Santa Rosa, Oakland",CA,other,LPR tracked suspect vehicles across multiple jurisdictions,10 vehicles seized and impounded,"Oakland Police Department used Flock automated license plate reader cameras to track and seize 10 vehicles linked to illegal sideshows across the Bay Area, including from Rohnert Park, Santa Rosa, and other cities. The cameras enabled police to identify and locate vehicles involved in the rogue street takeovers.",Patch,https://patch.com/california/rohnertpark-cotati/watch-flock-cameras-used-track-down-sideshow-suspects-north-bay,https://patch.com/california/berkeley/watch-oakland-flock-cameras-used-track-down-sideshow-suspects-north-bay,high
90,2026-08-13,2026-04-14,Brookhaven,GA,shooting,LPR network identified suspect vehicle across multiple jurisdictions,suspect arrested,A shooting spree across the metro Atlanta area left two people dead and one injured over six hours. Flock Safety cameras' license plate reader network helped police track and apprehend 26-year-old Olaolukitan Adon Abel as the suspect.,AJC.com,https://www.ajc.com/news/2026/04/police-credit-cameras-tech-in-catching-suspect-after-shootings-left-two-dead/,,high
91,2026-08-13,2026-02-16,Sunnyvale,CA,assault,LPR alert located suspect vehicle in Los Gatos,arrest,"On February 16, Sunnyvale police responded to an armed assault but the suspect fled. A Flock Safety camera alert located the suspect's vehicle in Los Gatos the following day, leading police to execute an arrest warrant at the suspect's home where a loaded gun and additional magazines were recovered.",The Silicon Valley Voice,https://www.svvoice.com/sunnyvale-police-arrest-local-boy-with-help-from-license-plate-reader/,,high
92,2026-08-13,2026-01-17,Douglas County,CO,shooting,LPR identified suspect vehicle,arrest,"Mitchell Aaron Weber was arrested for a road rage shooting incident on Friday near Quebec Street and Wildcat Ridge in Douglas County, Colorado, in which he fired multiple times at another vehicle. A Flock Safety camera helped deputies identify the suspect vehicle, leading to his arrest on Saturday.",Colorado Politics,https://www.coloradopolitics.com/2026/01/19/flock-cameras-assist-in-road-rage-shooting-arrest-in-douglas-county/,,high
93,2026-08-13,2025-12-03,Shelby Township,MI,robbery,assisted in suspect arrest,arrest,"A Florida robbery suspect was arrested in Shelby Township, Michigan with assistance from the Flock Safety camera system.",The Detroit News,https://www.detroitnews.com/story/news/local/macomb-county/2025/12/03/florida-robbery-suspect-arrested-shelby-twp-assistance-flock-camera-system/87584299007/,,medium
94,2026-08-13,2025-12-20,Kent,WA,assault,Flock notification alerted officers to suspect vehicle location,arrest,"Kent Police arrested a domestic violence suspect wanted for a December 2025 assault in which he allegedly struck and strangled a victim. A Flock Safety camera notification led officers to locate the suspect's vehicle near 116th Avenue SE, resulting in a traffic stop and arrest without incident.",iLoveKent,https://ilovekent.net/kent-police-arrests-domestic-violence-suspect-after-bolo-alert-and-flock-camera-notification/,,high
95,2026-08-13,,,,hit and run,identified suspect,suspect identified,Flock cameras identified a suspect in a fatal pedestrian hit-and-run incident investigated by JCPD.,WJHL,https://www.wjhl.com/news/crime/jcpd-credits-flock-cameras-for-identifying-sunday-fatal-pedestrian-hit-and-run-suspect/,,low
96,2026-08-13,2025-07-08,Atlanta,GA,burglary,LPR captured suspect vehicle license plate,arrest and indictment,"A rental car used by Beyoncé's choreographer was broken into in an Atlanta parking garage on July 8, with unreleased music and equipment stolen. Flock LPR cameras captured the suspect vehicle's license plate, leading investigators to identify and arrest Kelvin Lanier Evans.",FOX 5 Atlanta,https://www.fox5atlanta.com/news/unreleased-beyonce-tracks-suspected-thief-caught-using-flock-cameras,,high
97,2026-08-13,2025-09-06,El Paso County,CO,vehicle theft,Alerts located stolen vehicle; second alert directed deputies to suspect's location,"Suspect arrested, vehicle recovered","Flock Safety cameras alerted deputies to a stolen 2007 Jeep Liberty in El Paso County on September 6, 2025. A second Flock alert enabled law enforcement to locate and apprehend the armed and dangerous suspect, Arturo Velasquez, who was found with methamphetamine and charged with multiple felonies.",El Paso County Sheriff’s Office,https://epcsheriffsoffice.com/stolen-vehicle-suspect-arrested-after-collision-with-law-enforcement/,,high
98,2026-08-13,2025-10-30,Lockhart,TX,other,LPR hit identified suspect vehicle tied to outstanding warrants,arrest,"Caldwell County deputies used Flock's license plate recognition system to spot a vehicle connected to a suspect with multiple outstanding warrants for voyeurism offenses. The system flagged the vehicle inside Caldwell County, enabling deputies to apprehend Ramiro Aviles Orduna without incident.",Lockhart Post Register,https://post-register.com/cameras-help-catch-wanted-suspect/,,high
99,2026-08-13,2024-08,"Multiple (Volusia County, Garden City, Gary, Dunwoody, Spokane County, Fort Wayne)","FL, GA, IN, WA","shooting, abduction/missing person, robbery, homicide, assault",LPR identification and tracking of suspect vehicles; real-time alerts; hotlist matches,"arrests made, suspects apprehended, missing person recovered, firearm recovered, charges filed","Flock Safety's 2024 #Solved Awards highlight six cases where law enforcement agencies used Flock LPR technology and cameras to solve crimes including a shooting in Florida (apprehended in 4 days), locate a missing teen in Georgia/Louisiana, intercept suspects in a motel shooting in Indiana, dismantle a jewelry robbery ring on the East Coast, apprehend a domestic violence suspect in Washington, and catch a homicide suspect fleeing to Michigan (within 2 hours of shooting). Flock's cameras enabled real-time tracking, hotlist alerts, and inter-agency coordination that led to swift arrests and recovery of evidence.",Police1,https://www.police1.com/tech-pulse/transforming-police-investigations-with-technology-meet-the-flock-safety-2024-solved-awards-honorees,,high
100,2026-08-13,2025-06,Berkeley,CA,robbery,LPR cameras captured getaway vehicle footage and tracked suspect vehicles,suspects arrested and charged,"An armed robbery occurred at Dream Fluff Donuts in Berkeley, California, where five suspects stole money at gunpoint. Flock Safety cameras captured footage of the getaway vehicles, which helped authorities track and identify the stolen suspect vehicles, leading to arrests and charges including robbery, kidnapping, and grand theft.",Loss Prevention Magazine,https://losspreventionmedia.com/2-retail-crime-cases-solved-with-assistance-from-flock-technology/,,high
101,2026-08-13,2025-02-27,New Paris,OH,abduction/missing person,"LPR alert matched suspect vehicle, enabled traffic stop","missing person located, suspect arrested","A Flock Safety camera alert identified a vehicle carrying a missing 11-year-old girl from Texas and 52-year-old suspect Joel Domingo Dominguez Martinez. The match prompted New Paris Police to initiate a traffic stop, resulting in the girl's recovery and the suspect's arrest.",WKEF,https://dayton247now.com/news/local/flock-camera-technology-help-police-locate-missing-girl-suspect-in-custody,,high
102,2026-08-13,2024-03-01,El Cajon,CA,shooting,LPR system located suspect,suspect identified,El Cajon police used Flock Safety cameras to identify and locate a suspect in a shooting at a dentistry office.,cbs8.com,https://www.cbs8.com/article/news/local/el-cajon-police-flock-safety-find-suspect/509-05371062-6521-4dd1-bfb9-a5c24a012aff,,medium
103,2026-08-13,2023-09-27,Nichols Hills,OK,robbery,"LPR identified license plate and vehicle details, pinpointed registered address",arrest,"On Sept. 27, 2023, an armed robber shot a victim at an ATM in Nichols Hills, Oklahoma. Flock Safety cameras identified the suspect's white Mercedes-Benz license plate and vehicle details, which helped police locate 20-year-old Eric Nguyen's address and arrest him on Sept. 28.",KOKH,https://okcfox.com/news/local/these-cameras-are-helping-flock-safety-police-describe-methods-used-to-locate-armed-robbery-suspect-cameras-eric-minh-nguyen-mercedes-benz-sedan-white-arrested-crime-assault-gun-shot-victim-atm-nichols-hills-oklahoma-city-aclu-concerns-privacy-ai-reader,,high
104,2026-08-13,2025-05-22,,CO,vehicle theft,LPR assisted in locating stolen vehicle,"vehicle recovered, suspects arrested",Flock Safety cameras assisted in recovering a stolen vehicle and identifying suspects for arrest in Colorado.,FOX21 News Colorado,https://www.fox21news.com/news/flock-safety-cameras-help-recover-stolen-car-arrest-suspects/,,medium
105,2026-08-13,2024-04-13,Blue Springs,MO,shooting,"AI-enhanced vehicle identification by make, model, color and characteristics; real-time alert led to suspect vehicle location",arrest on first-degree murder warrant,"Marquis Earl-Lee Savannah was arrested for a fatal shooting at Wilbur Young Park on April 13, 2024 that killed two people. Flock Safety cameras identified the suspect's vehicle by its physical characteristics using AI technology and provided a real-time alert when the vehicle was spotted, enabling police to apprehend the suspect.",KPTV,https://www.kptv.com/2024/04/28/ai-enhanced-camera-technology-leads-murder-suspects-arrest/,,high
106,2026-08-13,2023-11-09,White Settlement,TX,shooting,LPR identified suspect vehicle from scene,arrest,"On November 9, 2023, a man fired shots at six teenagers near Foxfire Lane in White Settlement, Texas. Flock Safety cameras captured images of the blue Chevrolet truck used by the suspect, leading police to arrest Burgos Rodriguez and charge him with six counts of aggravated assault with a deadly weapon.",NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/white-settlement-police-credit-automatic-license-plate-readers-for-arrest-of-shooting-suspect/3386369/,,high
107,2026-08-13,2023-03-28,Harris County,TX,vehicle theft,LPR alert identified stolen vehicle in real-time,"suspect arrested, charged with unauthorized use of motor vehicle and drug possession","A Flock Safety camera in Harris County, Texas detected a stolen vehicle, prompting a traffic stop by deputies that led to the arrest of 31-year-old Rashad Bolden, who was found in possession of methamphetamine and was already out on bonds for prior drug charges.",FOX 26 Houston,https://www.fox26houston.com/news/harris-co-flock-safety-camera-captures-stolen-vehicle-suspect-arrested,,high
108,2026-08-13,2023-09-12,Anna,TX,burglary,"LPR alert located suspect vehicle, enabling traffic stop and arrest","arrest, stolen property recovered","On September 12, 2023, Anna Police used Flock Safety LPR cameras to identify and locate a vehicle linked to a series of vehicle break-ins. After the system alerted officers to the vehicle's presence, they conducted a traffic stop and arrested the suspect, who faced charges including burglary and possession of a stolen firearm.",Local Profile,https://www.localprofile.com/news/anna-pd-uses-license-plate-readers-to-arrest-suspect-for-vehicle-break-ins-7561503,,high
109,2026-08-13,2026-08-06,Iowa City,IA,other,LPR footage helped identify vandalism suspect,arrest,"Alex Rattenborg was arrested for dismantling a Flock camera on the University of Iowa campus on August 6. Police used Flock technology and surveillance footage to identify her, and she confessed to the crime.",KCRG,https://www.kcrg.com/2026/08/13/flock-vandal-suspect-arrested-with-help-flock-cameras-police-say/,,high
110,2026-08-13,2018-12-26,Marietta,GA,robbery,LPR identified and located suspect vehicle,arrest,A Flock Safety license plate reader camera in Marietta helped police apprehend a suspect wanted on robbery and aggravated assault charges in December 2018. The camera's success during a trial run led the department to purchase additional Flock cameras for expanded deployment.,ajc.com,https://www.ajc.com/news/local/marietta-wants-buy-license-plate-readers-after-successful-trial-run/h4Jdyz8l6IceoVRV8Pyo8O/,,medium
111,2026-08-13,2018-07,Marietta,GA,vehicle theft,LPR system identified and located suspects and stolen vehicles,"wanted felon apprehended, stolen vehicle recovered","Marietta PD deployed Flock Safety ALPR cameras across ten neighborhoods, resulting in a 34% crime drop in those areas from July 2018 to March 2019. The system was responsible for apprehending a wanted felon and recovering a stolen vehicle.",patch.com,https://patch.com/georgia/marietta/license-plate-readers-contribute-mariettas-falling-crime-rate,,high
112,2026-08-13,2019-09-20,Riverview,FL,theft/larceny,LPR captured license plates that identified suspect vehicles,two arrests made,"A Ford pickup truck's tailgate was stolen from a Paddock Oaks neighborhood driveway in Riverview, Florida. A Flock Safety camera at the neighborhood entrance captured license plates of the suspect vehicles, which combined with home security footage led to two arrests two weeks later.",govtech.com,https://www.govtech.com/products/License-Plate-Camera-Footage-Helps-Fight-Crime-in-Florida.html,https://www.tampabay.com/news/business/2019/09/20/license-plate-cameras-may-be-watching-your-tampa-bay-neighborhood/ https://www.floridatrend.com/article/27898/who-said-that,high
113,2026-08-13,2019-10-09,Trussville,AL,vehicle theft,LPR alert identified stolen vehicle location,"vehicle recovered, suspect arrested","A stolen Honda CR-V was recovered in Trussville after Flock Safety license plate reader cameras identified the vehicle's location. The suspect, Quintarius Monroe, was arrested and charged with receiving stolen property.",trussvilletribune.com,https://www.trussvilletribune.com/2019/10/10/trussville-police-arrest-center-point-man-recover-stolen-vehicle-using-flock-safety-system/,,high
114,2026-08-13,2019-11-01,Memorial Villages,TX,fugitive apprehension,LPR hit identified suspect in stolen vehicle,arrest of parole violator,"A Flock Safety license plate reader system alerted Memorial Villages police to a stolen vehicle carrying convicted burglar and parole violator Zachary Wingate on November 1, 2019. The system flagged the vehicle, leading to the suspect's arrest.",click2houston.com,https://www.click2houston.com/news/2019/11/20/license-plate-readers-to-replace-red-light-camera-in-communities-across-houston-area/,,high
115,2026-08-13,2020-01-18,Coweta County,GA,hit and run,LPR captured suspect vehicle tag; second reader located vehicle on tow truck,"arrest, charged with leaving scene of accident and obstruction","A Flock Safety license plate reader in Coweta County captured images of a vehicle involved in a hit-and-run accident that injured a UGA student, and a second reader later identified the vehicle on a tow truck, leading to the arrest of 18-year-old Deven Glenn Sheats.",fox5atlanta.com,https://www.fox5atlanta.com/news/coweta-county-teen-arrested-for-hit-and-run-accident-that-injured-uga-student,,high
116,2026-08-13,2019-12-21,Springville,AL,theft/larceny,LPR alert tracked suspect vehicle to location,suspect arrested,"Julius Durr allegedly stole two iPhone 11s from an AT&T store in Springville on December 21, 2019. Flock Safety cameras captured his vehicle fleeing the scene, allowing investigators to track it to Birmingham and obtain a search warrant that led to his arrest on January 16, 2020.",trussvilletribune.com,https://www.trussvilletribune.com/2020/01/24/springvilles-flock-safety-cameras-help-lead-authorities-to-identification-of-suspect-sought-in-att-theft/,,high
117,2026-08-13,2020-02-14,Trussville,AL,vehicle theft,real-time alert detected stolen vehicle,"arrest, vehicle recovered","A Flock camera alerted Trussville PD when a stolen vehicle entered the area on February 14, 2020. Jimmy Skovira was arrested at an Academy Sports + Outdoors parking lot and charged with receiving stolen property and drug paraphernalia possession; the vehicle was recovered.",trussvilletribune.com,https://www.trussvilletribune.com/2020/02/15/flock-cameras-alert-trussville-pd-to-stolen-vehicle-man-arrested/,,high
118,2026-08-13,2020-02-18,Houston,TX,vehicle theft,LPR alerts identified stolen vehicles and enabled traffic stops,"28 vehicles recovered, suspects arrested with outstanding warrants","Memorial Villages Police Department installed 20 Flock Safety license plate readers in September 2019, resulting in the recovery of 28 stolen vehicles within months and assisting in solving robberies, ID theft, and fraud cases. One example cited involved cameras identifying a stolen vehicle at 1:20 a.m., leading officers to a traffic stop where they apprehended three individuals with outstanding warrants and weapons.",houstonpublicmedia.org,https://www.houstonpublicmedia.org/articles/news/2020/02/18/360895/in-an-effort-to-reduce-crime-more-and-more-houston-area-communities-use-license-plate-readers/,,high
119,2026-08-13,2020-03-02,Trussville,AL,theft/larceny,LPR alert on stolen tag led to traffic stop,two arrests,Trussville Police stopped a vehicle after a Flock camera alert identified a stolen tag. The driver was arrested for receiving stolen property and driving with a revoked license; the passenger was arrested on an outstanding warrant.,trussvilletribune.com,https://www.trussvilletribune.com/2020/03/05/trussville-police-arrest-2-after-flock-camera-hit/,,high
